,1,2,3,4,5,6,7,8,9,10,,,,,,,,,,
1,9896.900532,8455.020525,8881.666667,10671.50782,12350.5505,13835.6118,13394.37283,14834.41995,16975.42275,16873.80978,,,,,,,,,,
2,9096.073236,8781.508493,8467.5,9976.04141,12328.50521,12358.91201,15160.42168,13823.71633,15409.11231,16485.29071,,,,,,,,,,
3,8310.460901,8751.91802,8337.5,10687.62265,11655.43987,12875.03635,13038.78765,14119.09674,14657.59596,16857.20637,,,,,,,,,,
4,8164.819207,8056.747895,8392.5,9963.974017,10977.97987,12676.69993,10732.03754,15068.0264,15519.17251,16292.05141,,,,,,,,,,
5,7149.324772,7499.810597,6836.666667,8960.547552,10137.50719,12788.52764,10103.34997,13451.4139,15553.89597,14315.88143,,,,,,,,,,
6,6680.678739,7483.041055,6160.833333,8582.536278,9308.513758,14455.67617,10170.17872,10476.97049,15647.32017,15741.25707,,,,,,,,,,
7,5775.09229,6385.905466,6352.398333,8194.125491,7867.73082,11174.47634,9423.894217,8509.793691,11155.48676,12717.58834,,,,,,,,,,
8,4704.717609,6133.03574,6728.371667,8490.145778,8052.639307,10486.79402,7685.790058,8299.46781,11894.23642,11281.24325,,,,,,,,,,
9,4597.123462,6049.487555,6652.955,8940.937198,8884.057471,9777.43287,8594.845438,9398.030362,11273.31159,10999.92142,,,,,,,,,,
10,4529.701201,6662.31404,6618.368333,9658.460648,8662.633608,10077.03201,8278.009063,10471.79935,11980.14013,10460.14356,,,,,,,,,,
11,5040.672903,6616.196768,6853.32,9855.969687,8392.259749,10251.4463,9821.069113,10243.96637,12947.03643,12524.18757,,,,,,,,,,
12,6239.806483,6745.392652,7001.2725,9208.32984,8588.20174,11543.09261,10238.07954,11178.47835,13641.53907,14102.15974,,,,,,,,,,
13,7390.010877,7828.248573,6953.505833,9517.121114,8504.617965,10056.73043,10953.38855,10336.92852,13670.93247,13316.70793,,,,,,,,,,
14,7444.302379,7481.969999,7119.464167,9318.583733,9956.281798,9688.480634,12371.27277,8118.215269,12683.01396,14057.17672,,,,,,,,,,
15,7858.082233,7726.607585,6570.086667,9089.803103,9172.940684,10276.12119,12741.28987,9231.887565,12299.69623,15181.62269,,,,,,,,,,
16,7979.889832,9160.910179,6309.380833,7621.62709,8037.855813,10413.44757,12522.37375,10752.50032,11725.1356,14794.93286,,,,,,,,,,
17,7023.615541,8061.608927,6401.978333,7465.579641,9727.895184,8983.67223,11147.19174,10799.96826,12367.08182,13203.46656,,,,,,,,,,
18,6642.269893,8728.16924,7969.923333,9261.809485,10242.09059,10698.45953,11967.79268,11915.33874,13528.47695,14780.4234,,,,,,,,,,
19,11166.18013,11799.62428,12026.66667,14675.96659,13205.09034,16460.95351,13477.55516,15777.53477,20357.6826,23593.15891,,,,,,,,,,
20,14003.74368,18163.32045,15211.66667,20865.02931,17591.74198,23086.20422,17279.44765,18857.49266,28539.82365,29501.83054,,,,,,,,,,
21,14042.2154,17692.64708,14990.83333,19571.92034,18883.98367,28520.59595,19724.91433,24659.01035,27191.84827,29620.95597,,,,,,,,,,
22,14083.51973,16120.98082,14126.66667,18033.96867,18085.59239,23556.35487,19348.61437,24261.76686,23144.03874,28706.79894,,,,,,,,,,
23,11300.073,13880.4025,11549.16667,14570.57853,17981.88991,20442.19705,22086.73518,20404.32397,19798.70793,22888.50615,,,,,,,,,,
24,9368.050832,12527.43034,9796.666667,12119.46575,16739.54211,17933.89979,20621.11296,14933.98664,17591.43239,18785.24469,,,,,,,,,,
25,8168.314275,9317.085375,8631.666667,10604.35986,14417.7669,14479.58388,16357.82593,13472.70709,14960.40238,18887.87307,,,,,,,,,,
26,8357.186357,8403.306099,8257.5,9905.273255,12186.20085,12667.37868,14588.89981,13301.79392,15538.33756,14873.54554,,,,,,,,,,
27,8326.251617,7693.110013,8122.5,10027.01217,9819.568045,12000.27861,13279.70384,14767.01704,14533.00237,15297.57182,,,,,,,,,,
28,8197.169986,7979.813949,6842.5,10398.32839,10437.06268,13757.84114,11393.23485,13267.26123,14368.50808,15107.52463,,,,,,,,,,
29,6835.638421,7638.069019,5896.666667,9105.721925,10220.34619,12955.76955,10412.74078,13082.8608,13411.30466,15382.71739,,,,,,,,,,
30,6304.079037,7527.857623,6047.5,8159.981373,10032.62243,12160.94762,11537.7167,12309.30738,14545.93858,17320.94857,,,,,,,,,,
31,4952.231595,5656.220609,6013.833333,6911.408781,7941.964968,9120.23316,9431.099257,10609.69271,12881.50919,13310.27766,,,,,,,,,,
32,4641.419788,6259.324433,5931.383333,7449.642001,6721.518449,7812.029514,9076.925878,9436.216832,12189.35615,13447.68687,,,,,,,,,,
33,5086.372281,7172.614441,5763.4,7793.921725,6881.101233,9118.651309,8093.319808,10577.20421,12000.31374,13969.75013,,,,,,,,,,
34,4632.719733,6744.603822,6247.4375,7708.739466,6331.567261,9474.21825,8447.076347,11022.18512,10796.56051,12441.87464,,,,,,,,,,
35,4921.64439,7370.602123,6508.590833,8761.782486,6868.278314,9375.364436,11036.2978,12838.52679,12113.38133,12676.62842,,,,,,,,,,
36,3812.674554,7491.639238,6957.073333,8137.766751,7178.805075,9906.383833,13453.60558,12059.20649,13497.3388,13839.84105,,,,,,,,,,
37,5146.869824,7483.65272,7071.228333,7809.151774,7627.460061,9728.592351,12879.92861,12148.95299,14641.04173,14168.37827,,,,,,,,,,
38,6122.323238,7241.733516,7112.23,7257.975062,8095.446261,9081.656967,12095.83347,9590.403768,13918.48688,12640.84388,,,,,,,,,,
39,6631.254625,8316.21001,6906.5525,6894.90243,8684.136469,9950.25206,11094.70223,6928.195749,15228.02006,13294.57777,,,,,,,,,,
40,6597.744411,7755.379629,7586.733333,7992.74998,9436.863265,9509.798868,11298.22314,8629.87564,14683.16198,12824.36422,,,,,,,,,,
41,5474.269285,7028.336868,8048.768333,8209.565869,8905.458814,9909.245731,11123.48165,9935.332216,14302.18303,12427.79617,,,,,,,,,,
42,6883.861642,8390.85296,9038.0425,9566.172368,9961.870559,11489.0968,12489.23351,12310.88227,13753.24797,12599.00118,,,,,,,,,,
43,8262.115436,11264.19002,12601.37917,12178.66728,14561.6358,18287.99645,16131.8328,16207.58421,18582.16778,19348.9635,,,,,,,,,,
44,12469.83788,15998.14898,14907.5,16845.08383,20760.00614,22839.1565,20110.73889,24651.32932,24986.673,30787.76805,,,,,,,,,,
45,13703.20307,12884.45666,15368.33333,18022.09044,18800.97187,23395.41276,21787.34162,24219.77412,22945.45224,32885.10642,,,,,,,,,,
46,13615.92459,12581.21611,15161.66667,14156.75156,18116.51554,21295.80052,21738.82971,21997.72164,22466.92221,23568.81949,,,,,,,,,,
47,11266.85232,12525.40745,12515.83333,13127.44314,16486.12241,17384.39426,20136.29281,22453.35354,20652.24251,19502.1608,,,,,,,,,,
48,9835.501121,10981.86431,10394.16667,10842.3147,13939.27682,14489.03101,18204.493,18810.41721,16124.45825,15311.57293,,,,,,,,,,
49,9016.49757,9714.506156,9046.666667,9638.885015,13707.59184,10441.87626,15713.13983,14709.53145,15143.03863,13830.53216,,,,,,,,,,
